maxCc,fiscalPk,start,end,rate
750,4,01/07/2026,30/06/2027,97.44
950,5,01/07/2026,30/06/2027,121.92
1150,6,01/07/2026,30/06/2027,176.28
1350,7,01/07/2026,30/06/2027,230.28
1550,8,01/07/2026,30/06/2027,284.76
1750,9,01/07/2026,30/06/2027,339.12
1950,10,01/07/2026,30/06/2027,393.00
2150,11,01/07/2026,30/06/2027,510.12
2350,12,01/07/2026,30/06/2027,627.00
2550,13,01/07/2026,30/06/2027,743.76
2750,14,01/07/2026,30/06/2027,860.88
3050,15,01/07/2026,30/06/2027,977.76
3250,16,01/07/2026,30/06/2027,1280.76
3450,17,01/07/2026,30/06/2027,1584.00
3650,18,01/07/2026,30/06/2027,1887.12
3950,19,01/07/2026,30/06/2027,2189.52
4150,20,01/07/2026,30/06/2027,2492.64
