zip,name,municipality,province
1070,Anderlecht,Anderlecht,Brussels Hoofdstedelijk Gewest
7010,Maisières,Mons,Henegouwen
7783,Ploegsteert,Komen-Waasten,Henegouwen
2020,Antwerpen,Antwerpen,Antwerpen
1007,Brussel,Brussel,Brussels Hoofdstedelijk Gewest
1012,Brussel,Brussel,Brussels Hoofdstedelijk Gewest
1041,Brussel,Brussel,Brussels Hoofdstedelijk Gewest
1733,Asse,Asse,Vlaams-Brabant
9075,Wondelgem,Gent,Oost-Vlaanderen
2099,Antwerpen,Antwerpen,Antwerpen
1099,Brussel,Brussel,Brussels Hoofdstedelijk Gewest
3583,Paal,Beringen,Limburg
7511,Orcq,Tournai,Henegouwen
1048,Brussel,Brussel,Brussels Hoofdstedelijk Gewest
1005,Brussel,Brussel,Brussels Hoofdstedelijk Gewest
7512,Kain,Tournai,Henegouwen
3792,Sint-Pieters-Voeren,Voeren,Limburg
3791,Remersdaal,Voeren,Limburg
5010,Namur,Namur,Namen
612,Brussel,Sinterklaas,Brussels Hoofdstedelijk Gewest
1011,Brussel,Brussel,Brussels Hoofdstedelijk Gewest
5589,Jemelle,Rochefort,Namen
1331,Rosières,Rixensart,Waals-Brabant
1033,Schaarbeek,Schaarbeek,Brussels Hoofdstedelijk Gewest
5621,Hanzinelle,Florennes,Namen
1031,Schaarbeek,Schaarbeek,Brussels Hoofdstedelijk Gewest
1046,Evere,Evere,Brussels Hoofdstedelijk Gewest
1804,Vilvoorde,Vilvoorde,Vlaams-Brabant
1934,Diegem,Machelen,Vlaams-Brabant
7901,Thieulain,Leuze-en-Hainaut,Henegouwen
6099,Fleurus,Fleurus,Henegouwen
2050,Antwerpen,Antwerpen,Antwerpen
6075,Fleurus,Fleurus,Henegouwen
3793,Teuven,Voeren,Limburg
6142,Leernes,Fontaine-l'Évêque,Henegouwen
2030,Antwerpen,Antwerpen,Antwerpen
1008,Brussel,Brussel,Brussels Hoofdstedelijk Gewest
1212,Sint-Joost-ten-Node,Sint-Joost-ten-Node,Brussels Hoofdstedelijk Gewest
1044,Schaarbeek,Schaarbeek,Brussels Hoofdstedelijk Gewest
3798,s-Gravenvoeren,Voeren,Limburg
1049,Evere,Evere,Brussels Hoofdstedelijk Gewest
1931,Diegem,Machelen,Vlaams-Brabant
2018,Antwerpen,Antwerpen,Antwerpen
1047,Elsene,Elsene,Brussels Hoofdstedelijk Gewest
1006,Brussel,Brussel,Brussels Hoofdstedelijk Gewest
7510,Orcq,Tournai,Henegouwen
1935,Zaventem,Zaventem,Vlaams-Brabant
1043,Schaarbeek,Schaarbeek,Brussels Hoofdstedelijk Gewest
7513,Kain,Tournai,Henegouwen
9099,Wondelgem,Gent,Oost-Vlaanderen
9180,Moerbeke,Moerbeke,Oost-Vlaanderen
1110,Brussel,Brussel,Brussels Hoofdstedelijk Gewest
1009,Brussel,Brussel,Brussels Hoofdstedelijk Gewest
1105,Brussel,Brussel,Brussels Hoofdstedelijk Gewest
1035,Schaarbeek,Schaarbeek,Brussels Hoofdstedelijk Gewest
5012,Namur,Namur,Namen
2060,Antwerpen,Antwerpen,Antwerpen
4099,Awans,Awans,Luik
